product_id,name,description,price,quantity,customer_feedback
1,Laptop Pro X,"High-performance laptop with 16GB RAM, 512GB SSD",1299.99,50,"Great product, fast delivery"
2,Wireless Mouse,"Ergonomic wireless mouse with long battery life",29.99,200,"Comfortable to use, good battery"
3,4K Monitor,"32-inch 4K monitor with HDR support",599.99,30,"Amazing picture quality"
4,USB-C Hub,"7-port USB-C hub with power delivery",49.99,150,"Works as expected"
5,Gaming Keyboard,"Mechanical gaming keyboard with RGB lighting",149.99,75,"Perfect for gaming"
6,Laptop Pro X Max,"Premium laptop with 32GB RAM, 1TB SSD",2499.99,15,"Outstanding performance"
7,Basic Mouse,"Standard wireless mouse",15.99,300,"Basic but reliable"
8,Budget Monitor,"24-inch 1080p monitor",199.99,100,"Good value for money"
9,Premium Headphones,"Noise-cancelling wireless headphones",299.99,40,"Great sound quality"
10,Power Bank,"20000mAh portable charger",79.99,250,"Long-lasting battery"
